SYMBOL,NAME_OF_COMPANY,SERIES,DATE_OF_LISTING,PAID_UP_VALUE,ISIN_NUMBER,FACE_VALUE,Unnamed: 7
EUROBOND.NS,Euro Panel Products Limited,SM,24-Dec-21,10,INE505V01016,10,
NIDAN.NS,Nidan Laboratories and Healthcare Limited,SM,12-Nov-21,10,INE0J6L01013,10,
KOTYARK.NS,Kotyark Industries Limited,SM,02-Nov-21,10,INE0J0B01017,10,
DKEGL.NS,D.K. Enterprises Global Limited,SM,22-Oct-21,10,INE0GN101014,10,
DESTINY.NS,Destiny Logistics & Infra Limited,ST,13-Oct-21,10,INE0IGO01011,10,
DYNAMIC.NS,Dynamic Services & Security Limited,ST,13-Oct-21,10,INE0DZ701010,10,
BMETRICS.NS,Bombay Metrics Supply Chain Limited,SM,12-Oct-21,10,INE0I3Y01014,10,
JAINAM.NS,Jainam Ferro Alloys (I) Limited,ST,08-Oct-21,10,INE02KC01010,10,
QUADPRO.NS,Quadpro Ites Limited,SM,30-Sep-21,2,INE0GOJ01027,2,
BEWLTD.NS,BEW Engineering Limited,ST,16-Sep-21,10,INE0HQI01014,10,
DUGLOBAL.NS,DUDIGITAL GLOBAL LIMITED,SM,26-Aug-21,2,INE0HPK01020,2,
REXPIPES.NS,Rex Pipes And Cables Industries Limited,SM,10-Aug-21,10,INE00D001018,10,
NPST.NS,Network People Services Technologies Limited,SM,10-Aug-21,10,INE0FFK01017,10,
WALPAR.NS,Walpar Nutritions Limited,SM,13-Jul-21,10,INE0G2G01015,10,
AILIMITED.NS,Abhishek Integrations Limited,ST,21-Jun-21,10,INE0CAJ01017,10,
VMARCIND.NS,V Marc India Limited,ST,09-Apr-21,10,INE0GXK01018,10,
SIDDHIKA.NS,Siddhika Coatings Limited,SM,07-Apr-21,10,INE0A1E01018,10,
PARTYCRUS.NS,Party Cruisers Limited,SM,05-Mar-21,10,INE06ZX01015,10,
ASCOM.NS,Ascom Leasing & Investments Limited,ST,06-Dec-19,10,INE08KD01015,10,
GOLDKART.NS,Goldkart Jewels Limited,ST,15-Oct-19,10,INE06MH01016,10,
SHIVAUM.NS,Shiv Aum Steels Limited,ST,01-Oct-19,10,INE719F01016,10,
SECL.NS,Salasar Exteriors and Contour Limited,ST,12-Sep-19,1,INE00Y701026,1,
KHFM.NS,Khfm Hospitality And Facility Management Services Limited,SM,12-Apr-19,10,INE00UG01014,10,
MINDPOOL.NS,Mindpool Technologies Limited,SM,28-Feb-19,10,INE00RQ01019,10,
SURANI.NS,Surani Steel Tubes Limited,ST,06-Feb-19,10,INE01ZJ01015,10,
DRSDILIP.NS,DRS Dilip Roadlines Limited,ST,10-Dec-18,10,INE02CV01017,10,
