SYMBOL,NAME OF COMPANY, SERIES, DATE OF LISTING, PAID UP VALUE, MARKET LOT, ISIN NUMBER, FACE VALUE
POLICYBZR.NS,PB Fintech Limited,EQ,15-NOV-2021,2,1,INE417T01026,2
POLYCAB.NS,Polycab India Limited,EQ,16-APR-2019,10,1,INE455K01017,10
POLYMED.NS,Poly Medicure Limited,EQ,07-DEC-2011,5,1,INE205C01021,5
POLYPLEX.NS,Polyplex Corporation Limited,EQ,11-APR-2003,10,1,INE633B01018,10
PONNIERODE.NS,Ponni Sugars (Erode) Limited,EQ,16-APR-2002,10,1,INE838E01017,10
POONAWALLA.NS,Poonawalla Fincorp Limited,EQ,27-APR-2004,2,1,INE511C01022,2
POWERGRID.NS,Power Grid Corporation of India Limited,EQ,05-OCT-2007,10,1,INE752E01010,10
POWERINDIA.NS,Hitachi Energy India Limited,EQ,30-MAR-2020,2,1,INE07Y701011,2
POWERMECH.NS,Power Mech Projects Limited,EQ,26-AUG-2015,10,1,INE211R01019,10
PPAP.NS,PPAP Automotive Limited,EQ,11-JAN-2008,10,1,INE095I01015,10
PPL.NS,Prakash Pipes Limited,EQ,14-JUN-2019,10,1,INE050001010,10
PPLPHARMA.NS,Piramal Pharma Limited,EQ,19-OCT-2022,10,1,INE0DK501011,10
PRAENG.NS,Prajay Engineers Syndicate Limited,EQ,02-JAN-2007,10,1,INE505C01016,10
PRAJIND.NS,Praj Industries Limited,EQ,11-OCT-1995,2,1,INE074A01025,2
PRAKASH.NS,Prakash Industries Limited,EQ,10-MAY-1995,10,1,INE603A01013,10
PRAKASHSTL.NS,Prakash Steelage Limited,EQ,25-AUG-2010,1,1,INE696K01024,1
PRAXIS.NS,Praxis Home Retail Limited,BE,31-JAN-2018,5,1,INE546Y01022,5
PRECAM.NS,Precision Camshafts Limited,EQ,08-FEB-2016,10,1,INE484I01029,10
PRECOT.NS,Precot Limited,BE,19-AUG-2005,10,1,INE283A01014,10
PRECWIRE.NS,Precision Wires India Limited,EQ,06-SEP-1995,1,1,INE372C01037,1
PREMEXPLN.NS,Premier Explosives Limited,EQ,17-JUN-2016,2,1,INE863B01029,2
PREMIER.NS,Premier Limited,BE,03-APR-1996,10,1,INE342A01018,10
PREMIERENE.NS,Premier Energies Limited,EQ,03-SEP-2024,1,1,INE0BS701011,1
PREMIERPOL.NS,Premier Polyfilm Limited,BE,13-DEC-1995,1,1,INE309M01020,1
PRESTIGE.NS,Prestige Estates Projects Limited,EQ,27-OCT-2010,10,1,INE811K01011,10
PRICOLLTD.NS,Pricol Limited,EQ,10-FEB-2017,1,1,INE726V01018,1
PRIMESECU.NS,Prime Securities Limited,EQ,17-JUN-2005,5,1,INE032B01021,5
PRINCEPIPE.NS,Prince Pipes And Fittings Limited,EQ,30-DEC-2019,10,1,INE689W01016,10
PRITI.NS,Priti International Limited,EQ,02-MAR-2022,10,1,INE974Z01015,10
PRITIKAUTO.NS,Pritika Auto Industries Limited,EQ,10-AUG-2021,2,1,INE583R01029,2
PRIVISCL.NS,Privi Speciality Chemicals Limited,EQ,08-MAY-2015,10,1,INE959A01019,10
PROZONER.NS,Prozone Realty Limited,EQ,12-SEP-2012,2,1,INE195N01013,2
PRSMJOHNSN.NS,Prism Johnson Limited,EQ,20-AUG-2003,10,1,INE010A01011,10
PRUDENT.NS,Prudent Corporate Advisory Services Limited,EQ,20-MAY-2022,5,1,INE00F201020,5
PRUDMOULI.NS,Prudential Sugar Corporation Limited,BE,10-MAY-1995,10,1,INE024D01016,10
PSB.NS,Punjab & Sind Bank,EQ,30-DEC-2010,10,1,INE608A01012,10
PSPPROJECT.NS,PSP Projects Limited,EQ,29-MAY-2017,10,1,INE488V01015,10
PTC.NS,PTC India Limited,EQ,07-APR-2004,10,1,INE877F01012,10
PTCIL.NS,PTC Industries Limited,EQ,09-JUN-2023,10,1,INE596F01018,10
PTL.NS,PTL Enterprises Limited,EQ,29-JAN-2007,1,1,INE034D01049,1
PUNJABCHEM.NS,Punjab Chemicals & Crop Protection Limited,EQ,08-MAR-2007,10,1,INE277B01014,10
PURVA.NS,Puravankara Limited,EQ,30-AUG-2007,5,1,INE323I01011,5
PVP.NS,PVP Ventures Limited,EQ,03-APR-1996,10,1,INE362A01016,10
PVRINOX.NS,PVR INOX Limited,EQ,04-JAN-2006,10,1,INE191H01014,10
PVSL.NS,Popular Vehicles and Services Limited,EQ,19-MAR-2024,2,1,INE772T01024,2
PYRAMID.NS,Pyramid Technoplast Limited,EQ,29-AUG-2023,10,1,INE0MIS01010,10
QUESS.NS,Quess Corp Limited,EQ,12-JUL-2016,10,1,INE615P01015,10
QUICKHEAL.NS,Quick Heal Technologies Limited,EQ,18-FEB-2016,10,1,INE306L01010,10
RACE.NS,Race Eco Chain Limited,EQ,09-MAY-2023,10,1,INE084Q01012,10
RACLGEAR.NS,RACL Geartech Limited,EQ,27-NOV-2024,10,1,INE704B01017,10
RADAAN.NS,Radaan Mediaworks India Limited,BE,27-FEB-2003,2,1,INE874F01027,2
RADHIKAJWE.NS,Radhika Jeweltech Limited,BE,18-JUL-2022,2,1,INE583V01021,2
RADIANTCMS.NS,Radiant Cash Management Services Limited,EQ,04-JAN-2023,1,1,INE855R01021,1
RADICO.NS,Radico Khaitan Limited,EQ,18-JUN-2003,2,1,INE944F01028,2
RADIOCITY.NS,Music Broadcast Limited,EQ,17-MAR-2017,2,1,INE919I01024,2
RAILTEL.NS,Railtel Corporation Of India Limited,EQ,26-FEB-2021,10,1,INE0DD101019,10
RAIN.NS,Rain Industries Limited,EQ,03-MAR-2008,2,1,INE855B01025,2
RAINBOW.NS,Rainbow Childrens Medicare Limited,EQ,10-MAY-2022,10,1,INE961O01016,10
RAJESHEXPO.NS,Rajesh Exports Limited,EQ,09-FEB-2000,1,1,INE343B01030,1
RAJMET.NS,Rajnandini Metal Limited,EQ,16-FEB-2021,1,1,INE00KV01022,1
RAJRATAN.NS,Rajratan Global Wire Limited,EQ,22-MAY-2020,2,1,INE451D01029,2
RAJRILTD.NS,Raj Rayon Industries Limited,BE,16-MAR-2022,1,1,INE533D01032,1
RAJSREESUG.NS,Rajshree Sugars & Chemicals Limited,EQ,29-MAR-1995,10,1,INE562B01019,10
RAJTV.NS,Raj Television Network Limited,BE,16-MAR-2007,5,1,INE952H01027,5
RALLIS.NS,Rallis India Limited,EQ,01-APR-1999,1,1,INE613A01020,1
RAMANEWS.NS,Shree Rama Newsprint Limited,EQ,20-SEP-2006,10,1,INE278B01020,10
RAMAPHO.NS,Rama Phosphates Limited,EQ,05-AUG-2022,10,1,INE809A01024,10
RAMASTEEL.NS,Rama Steel Tubes Limited,EQ,19-AUG-2015,1,1,INE230R01035,1
RAMCOCEM.NS,The Ramco Cements Limited,EQ,09-APR-1997,1,1,INE331A01037,1
RAMCOIND.NS,Ramco Industries Limited,EQ,06-NOV-1996,1,1,INE614A01028,1
RAMCOSYS.NS,Ramco Systems Limited,EQ,12-APR-2000,10,1,INE246B01019,10
RAMKY.NS,Ramky Infrastructure Limited,EQ,08-OCT-2010,10,1,INE874I01013,10
RAMRAT.NS,Ram Ratna Wires Limited,EQ,29-JUL-2022,5,1,INE207E01023,5
RANASUG.NS,Rana Sugars Limited,EQ,24-FEB-2005,10,1,INE625B01014,10
RANEENGINE.NS,Rane Engine Valve Limited,EQ,24-JUN-2008,10,1,INE222J01013,10
RANEHOLDIN.NS,Rane Holdings Limited,EQ,24-SEP-1997,10,1,INE384A01010,10
RATEGAIN.NS,Rategain Travel Technologies Limited,EQ,17-DEC-2021,1,1,INE0CLI01024,1
RATNAMANI.NS,Ratnamani Metals & Tubes Limited,EQ,09-MAY-2006,2,1,INE703B01027,2
RATNAVEER.NS,Ratnaveer Precision Engineering Limited,EQ,11-SEP-2023,10,1,INE05CZ01011,10
RAYMOND.NS,Raymond Limited,EQ,18-OCT-1995,10,1,INE301A01014,10
RAYMONDLSL.NS,Raymond Lifestyle Limited,EQ,05-SEP-2024,2,1,INE02ID01020,2
RBA.NS,Restaurant Brands Asia Limited,EQ,14-DEC-2020,10,1,INE07T201019,10
RBL.NS,Rane Brake Lining Limited,EQ,20-JUN-2008,10,1,INE244J01017,10
RBLBANK.NS,RBL Bank Limited,EQ,31-AUG-2016,10,1,INE976G01028,10
RBZJEWEL.NS,RBZ Jewellers Limited,EQ,27-DEC-2023,10,1,INE0PEQ01016,10
RCF.NS,Rashtriya Chemicals and Fertilizers Limited,EQ,07-JAN-1998,10,1,INE027A01015,10
RECLTD.NS,REC Limited,EQ,12-MAR-2008,10,1,INE020B01018,10
REDINGTON.NS,Redington Limited,EQ,15-FEB-2007,2,1,INE891D01026,2
REDTAPE.NS,Redtape Limited,EQ,11-AUG-2023,2,1,INE0LXT01019,2
REFEX.NS,Refex Industries Limited,BE,03-DEC-2009,2,1,INE056I01025,2
REGENCERAM.NS,Regency Ceramics Limited,BE,05-JUN-1996,10,1,INE277C01012,10
RELAXO.NS,Relaxo Footwears Limited,EQ,17-JUN-2011,1,1,INE131B01039,1
RELCHEMQ.NS,Reliance Chemotex Industries Limited,EQ,25-MAY-2022,10,1,INE750D01016,10
RELIABLE.NS,Reliable Data Services Limited,EQ,10-JUL-2024,10,1,INE375Y01018,10
RELIANCE.NS,Reliance Industries Limited,EQ,29-NOV-1995,10,1,INE002A01018,10
RELIGARE.NS,Religare Enterprises Limited,EQ,21-NOV-2007,10,1,INE621H01010,10
RELINFRA.NS,Reliance Infrastructure Limited,EQ,08-FEB-1995,10,1,INE036A01016,10
RELTD.NS,Ravindra Energy Limited,EQ,30-JUL-2024,10,1,INE206N01018,10
REMSONSIND.NS,Remsons Industries Limited,EQ,31-JAN-1996,2,1,INE474C01023,2
RENUKA.NS,Shree Renuka Sugars Limited,EQ,31-OCT-2005,1,1,INE087H01022,1
REPCOHOME.NS,Repco Home Finance Limited,EQ,01-APR-2013,10,1,INE612J01015,10
